City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,nguigmi,14.2495,13.1092,37.04,30,38,2.64,NE,1720101275
1,yola,9.2,12.4833,35.04,38,80,2.84,NG,1720101277
2,tucumcari,35.1717,-103.725,20.91,64,0,2.57,US,1720101279
3,udachny,66.4167,112.4,13.91,47,5,2.38,RU,1720101281
4,manicore,-5.8092,-61.3003,32.5,50,35,1.07,BR,1720101283
5,margaret river,-33.95,115.0667,10.31,84,9,4.53,AU,1720101284
6,hami,42.8,93.45,31.12,16,7,2.54,CN,1720101286
7,grytviken,-54.2811,-36.5092,-4.73,58,39,0.28,GS,1720101288
8,invercargill,-46.4,168.35,6.37,87,86,4.53,NZ,1720101290
9,rehoboth,-23.3167,17.0833,22.97,7,1,2.54,,1720101292
10,hoemul-li,41.4339,129.67,20.25,79,100,1.12,KP,1720101294
11,edinburgh of the seven seas,-37.0676,-12.3116,15.26,82,100,20.33,SH,1720101296
12,hawaiian paradise park,19.5933,-154.9731,21.73,96,100,2.06,US,1720101298
13,taltal,-25.4,-70.4833,15.36,68,28,1.59,CL,1720101300
14,odzak,45.0111,18.3267,24.65,51,68,0.95,BA,1720101302
15,longyearbyen,78.2186,15.6401,6.91,76,75,6.69,SJ,1720101304
16,conduaga,8.862,117.4893,26.54,86,27,2.55,PH,1720101305
17,port-aux-francais,-49.35,70.2167,1.36,59,38,5.3,TF,1720101307
18,arno,60.1167,18.6333,16.55,52,99,8.09,SE,1720101309
19,ushuaia,-54.8,-68.3,2.79,93,100,2.06,AR,1720101311
20,dul'durga,50.6761,113.5931,20.51,52,100,1.89,RU,1720101313
21,fangshan,39.6983,115.9925,26.11,66,3,2.29,CN,1720101315
22,adamstown,-25.066,-130.1015,20.12,70,54,4.26,PN,1720101317
23,san patricio,28.017,-97.5169,31.06,71,4,5.68,US,1720101319
24,bilibino,68.0546,166.4372,14.99,63,100,2.01,RU,1720101321
25,pasni,25.2631,63.471,29.04,84,100,3.49,PK,1720101322
26,san antonio de pale,-1.4014,5.6325,23.91,80,52,5.45,GQ,1720101324
27,vorgashor,67.5833,63.95,22.89,57,3,9.08,RU,1720101326
28,kavaratti,10.5669,72.642,28.38,86,71,6.2,IN,1720101328
29,chadan,51.2833,91.5833,18.33,53,6,0.8,RU,1720101330
30,punta arenas,-53.15,-70.9167,3.95,72,75,4.63,CL,1720101332
31,waitangi,-43.9535,-176.5597,7.68,96,43,1.79,NZ,1720101334
32,la gomera,14.0833,-91.05,23.84,77,27,2.37,GT,1720101336
33,puerto natales,-51.7236,-72.4875,3.25,65,75,6.69,CL,1720101338
34,fale old settlement,-9.3852,-171.2468,28.22,80,39,9.75,TK,1720101339
35,midvagur,62.0511,-7.1939,13.46,67,100,1.03,FO,1720101341
36,iqaluit,63.7506,-68.5145,3.85,100,100,2.06,CA,1720101343
37,chibougamau,49.9168,-74.3659,17.79,82,100,7.2,CA,1720101345
38,paita,-5.0892,-81.1144,20.28,78,70,4.27,PE,1720101347
39,joshimath,30.5667,79.5667,18.96,97,100,0.57,IN,1720101349
40,cidreira,-30.1811,-50.2056,13.45,91,100,3.38,BR,1720101351
41,sibolga,1.7427,98.7792,25.73,87,49,1.26,ID,1720101353
42,tura,25.5198,90.2201,24.54,97,100,3.31,IN,1720101355
43,college,64.8569,-147.8028,14.18,76,98,4.2,US,1720101357
44,cheonan,36.8065,127.1522,29.04,93,15,6.16,KR,1720101359
45,capelinha,-17.6914,-42.5158,21.89,42,0,2.95,BR,1720101361
46,aoulef,26.9667,1.0833,45.9,4,0,1.04,DZ,1720101362
47,blackmans bay,-43.0167,147.3167,4.29,88,5,0.45,AU,1720101364
48,merizo village,13.2658,144.6691,27.77,94,100,4.7,GU,1720101366
49,coahuayana de hidalgo,18.7,-103.6583,25.9,74,39,0.81,MX,1720101368
50,klyuchi,52.2667,79.1667,20.75,68,98,2.6,RU,1720101370
51,kuanda,56.3161,116.0806,19.73,78,69,0.49,RU,1720101372
52,whitehorse,60.7161,-135.0538,11.01,76,75,2.57,CA,1720101374
53,bishkul,54.7803,69.1033,21.69,66,37,2.46,KZ,1720101376
54,albany,42.6001,-73.9662,24.83,68,100,0.45,US,1720101378
55,antsiranana,-12.2787,49.2917,24.8,69,76,7.09,MG,1720101379
56,kapuskasing,49.4169,-82.4331,17.05,72,40,5.66,CA,1720101381
57,serhiyivka,46.0272,30.3768,26.33,57,51,5.57,UA,1720101383
58,lihue,21.9789,-159.3672,24.58,85,100,6.17,US,1720101256
59,lebu,-37.6167,-73.65,7.3,77,45,5.17,CL,1720101387
60,ar rass,25.8694,43.4973,39.65,8,0,1.84,SA,1720101389
61,utrik,11.2278,169.8474,27.68,80,99,6.49,MH,1720101391
62,thompson,55.7435,-97.8558,13.09,88,40,3.6,CA,1720101395
63,stanley,54.868,-1.6985,15.85,60,17,10.28,GB,1720101397
64,tezu,27.9167,96.1667,23.67,99,100,1.6,IN,1720101399
65,kudymkar,59.0173,54.656,29.48,56,42,3.67,RU,1720101401
66,bodo,67.28,14.405,21.64,59,20,4.63,NO,1720101402
67,lompoc,34.6391,-120.4579,11.23,100,100,2.06,US,1720101159
68,hithadhoo,-0.6,73.0833,29.14,75,100,3.79,MV,1720101406
69,nemuro,43.3236,145.575,13.44,99,100,3.55,JP,1720101408
70,georgetown,5.4112,100.3354,27.97,69,20,1.03,MY,1720101410
71,revda,56.801,59.9303,28.45,60,12,1.72,RU,1720101412
72,daru,-9.0763,143.2092,25.14,90,100,7.99,PG,1720101414
73,ad-damazin,11.7891,34.3592,30.04,53,74,2.5,SD,1720101416
74,chonchi,-42.6128,-73.8092,2.29,84,67,1.28,CL,1720101417
75,dasnapur,19.654,78.5121,29.63,65,100,3.44,IN,1720101419
76,banda aceh,5.5577,95.3222,27.45,75,98,5.18,ID,1720101421
77,jamestown,42.097,-79.2353,25.25,78,40,1.54,US,1720101423
78,azhikkal,11.9,75.3667,26.4,84,100,1.76,IN,1720101425
79,kingston,17.997,-76.7936,28.91,71,100,2.88,JM,1720101429
80,west island,-12.1568,96.8225,27.99,83,75,5.66,CC,1720101431
81,flying fish cove,-10.4217,105.6791,25.82,88,100,7.72,CX,1720101433
82,al bawiti,28.3492,28.8659,41.08,15,1,7.63,EG,1720101435
83,afaahiti,-17.75,-149.2833,22.81,82,56,9.22,PF,1720101437
84,dawson creek,55.7666,-120.2362,9.8,93,0,1.03,CA,1720101439
85,charters towers,-20.1,146.2667,18.22,81,100,3.75,AU,1720100920
86,talnakh,69.4865,88.3972,15.15,66,100,3.04,RU,1720101442
87,shiraoi,42.55,141.35,21.99,94,0,2.35,JP,1720101444
88,soio,-6.1349,12.3689,24.25,69,33,4.03,AO,1720101446
89,antofagasta,-23.65,-70.4,14.6,63,0,1.24,CL,1720101448
90,papatowai,-46.5619,169.4708,7.64,80,89,4.76,NZ,1720101450
91,dunay,42.8803,132.3375,16.7,89,100,1.23,RU,1720101452
92,santana,-0.0583,-51.1817,29.1,89,75,1.54,BR,1720101454
93,oxapampa,-10.5775,-75.4017,18.51,69,74,1.01,PE,1720101456
94,labytnangi,66.6572,66.4183,24.53,65,37,3.9,RU,1720101458
95,igarka,67.4667,86.5833,20.73,59,63,1.59,RU,1720101459
96,puerto ayora,-0.7393,-90.3518,21.42,97,100,1.87,EC,1720101461
97,lhuentse,27.6679,91.1839,21.48,99,100,1.3,BT,1720101463
98,masterton,-40.9597,175.6575,5.61,91,97,0.9,NZ,1720101465
99,mogocha,53.7333,119.7667,22.33,57,94,1.55,RU,1720101467
100,cannonvale,-20.2833,148.7,18.66,82,97,8.96,AU,1720101469
101,fukuecho,32.6881,128.8419,25.17,94,0,5.89,JP,1720101471
102,fort st. john,56.2499,-120.8529,11.94,82,20,4.12,CA,1720101473
103,goondiwindi,-28.55,150.3167,10.26,71,0,4.49,AU,1720101475
104,kodiak,57.79,-152.4072,3.73,100,0,3.09,US,1720101478
105,codrington,-38.2667,141.9667,10.49,77,100,4.21,AU,1720101480
106,rouissat,31.9243,5.3502,40.04,12,0,2.06,DZ,1720101482
107,richards bay,-28.783,32.0377,21.15,48,9,6.72,ZA,1720101484
108,petropavlovsk-kamchatsky,53.0452,158.6483,8.33,100,100,2.0,RU,1720101486
109,carnarvon,-24.8667,113.6333,17.25,42,0,7.58,AU,1720101488
110,olonkinbyen,70.9221,-8.7187,1.91,96,53,6.13,SJ,1720101490
111,beloyarskiy,63.7119,66.6722,30.28,43,75,3.06,RU,1720101492
112,newman,37.3138,-121.0208,24.6,30,0,1.3,US,1720101494
113,erenhot,43.6475,111.9767,26.25,29,88,3.35,CN,1720101496
114,bethel,41.3712,-73.414,24.53,79,100,2.57,US,1720101497
115,yellowknife,62.456,-114.3525,16.29,82,75,4.02,CA,1720101499
116,st. john's,47.5649,-52.7093,18.21,77,75,4.12,CA,1720101503
117,ribeira grande,38.5167,-28.7,23.22,64,75,3.09,PT,1720101505
118,salalah,17.0151,54.0924,27.77,88,100,4.15,OM,1720101507
119,mandalgovi,45.7625,106.2708,20.03,55,100,4.98,MN,1720101509
120,glendive,47.1053,-104.7125,15.98,88,100,3.09,US,1720101511
121,acarau,-2.8856,-40.12,29.51,57,57,6.69,BR,1720101513
122,puerto baquerizo moreno,-0.9,-89.6,21.33,84,100,3.11,EC,1720101514
123,santa rosa,14.3122,121.1114,28.3,84,96,1.44,PH,1720101516
124,quellon,-43.1167,-73.6167,5.18,71,44,4.29,CL,1720101518
125,kavieng,-2.5744,150.7967,27.04,81,100,3.08,PG,1720101520
126,guatrache,-37.6678,-63.5302,6.16,38,0,6.82,AR,1720101522
127,brookings,44.3114,-96.7984,20.06,93,75,2.57,US,1720101292
128,la'ie,21.6477,-157.9253,23.66,93,44,1.34,US,1720101526
